| No  | Kalimat Asli                                                                                                                                                               | Pertanyaan                                        | Pilihan Jawaban                                                   | Jawaban | Terjemahan Indonesia                                                                                                                                                                                          | Pertanyaan                                       | Pilihan Jawaban                                                   | Jawaban |
| 10  | The lawyer asked the witness a question, but he was reluctant to answer it.                                                                                                | Snippet: he was reluctant                         | A. the lawyer; B. the witness                                     | B       | Pengacara mengajukan pertanyaan kepada saksi, tetapi dia enggan menjawabnya                                                                                                                                   | dia enggan menjawabnya                           | A. pengacara; B. saksi                                            | B       |
| 11  | The delivery truck zoomed by the school bus because it was going so fast.                                                                                                  | Snippet: it: was going so fast.                   | A. the delivery truck; B. the school bus                          | A       | Truk pengiriman dideru oleh bus sekolah karena itu melaju sangat cepat                                                                                                                                        | itu melaju sangat cepat                          | A. truk pengiriman; B. bis sekolah                                | A       |
| 12  | The delivery truck zoomed by the school bus because it was going so slow.                                                                                                  | Snippet: it was going so slow.                    | A. the delivery truck; B. the school bus                          | B       | Truk pengiriman dideru oleh bus sekolah karena itu melaju sangat lambat                                                                                                                                       | itu melaju sangat lambat                         | A. truk pengiriman; B. bis sekolah                                | B       |
| 13  | Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition.                                                                     | Snippet: he was the winner.                       | A. Frank; B. Bill                                                 | A       | Frank merasa hebat ketika saingan lamanya, Bill, mengungkapkan bahwa dialah pemenang kompetisi tersebut.                                                                                                      | dialah pemenang                                  | A. Frank; B. Bill                                                 | A       |
| 14  | Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition.                                                                        | Snippet: he was the winner.                       | A. Frank; B. Bill                                                 | B       | Frank merasa hancur ketika saingan lamanya, Bill, mengungkapkan bahwa dialah pemenang kompetisi tersebut.                                                                                                     | dialah pemenang                                  | A. Frank; B. Bill                                                 | B       |
| 15  | The man couldn't lift his son because he was so weak.                                                                                                                      | Snippet: he was so weak.                          | A. The man; B. The son                                            | A       | Pria tersebut tidak dapat mengangkat putranya karena dia lemah.                                                                                                                                               | dia lemah                                        | A. Pria; B. Anak                                                  | A       |
| 16  | The man couldn't lift his son because he was so heavy.                                                                                                                     | Snippet: he was so heavy.                         | A. The man; B. The son                                            | B       | Pria tersebut tidak dapat mengangkat putranya karena dia berat.                                                                                                                                               | dia berat                                        | A. Pria; B. Anak                                                  | B       |
| 17  | The large ball crashed right through the table because it was made of steel.                                                                                               | Snippet: it was made of steel.                    | A. the large ball; B. the table                                   | A       | Bola besar itu jatuh tepat menembus meja karena itu terbuat dari baja.                                                                                                                                        | itu terbuat dari baja                            | A. bola besar; B. meja                                            | A       |
| 18  | The large ball crashed right through the table because it was made of styrofoam.                                                                                           | Snippet: it was made of styrofoam.                | A. the large ball; B. the table                                   | B       | Bola besar itu jatuh tepat menembus meja karena terbuat dari styrofoam.                                                                                                                                       | itu terbuat dari styrofoam                       | A. bola besar; B. meja                                            | B       |
| 19  | John couldn't see the stage with Billy in front of him because he is so short.                                                                                             | Snippet: he is so short.                          | A. John; B. Billy                                                 | A       | John tidak dapat melihat panggung dengan Billy di depannya karena dia sangat pendek.                                                                                                                          | dia sangat pendek                                | A. John; B. Billy                                                 | A       |
| 20  | John couldn't see the stage with Billy in front of him because he is so tall.                                                                                              | Snippet: he is so tall.                           | A. John; B. Billy                                                 | B       | John tidak dapat melihat panggung dengan Billy di depannya karena dia sangat tinggi.                                                                                                                          | dia sangat tinggi                                | A. John; B. Billy                                                 | B       |
| 21  | Tom threw his schoolbag down to Ray after he reached the top of the stairs.                                                                                                | Snippet: he reached the top of the stairs.        | A. Tom; B. Ray                                                    | A       | Tom melemparkan tas sekolahnya ke arah Ray setelah dia sampai di atas tangga.                                                                                                                                 | dia sampai di atas tangga                        | A. Tom; B. Ray                                                    | A       |
| 22  | Tom threw his schoolbag down to Ray after he reached the bottom of the stairs.                                                                                             | Snippet: he reached the bottom of the stairs.     | A. Tom; B. Ray                                                    | B       | Tom melemparkan tas sekolahnya ke arah Ray setelah dia sampai di bawah tangga.                                                                                                                                | dia sampai di bawah tangga                       | A. Tom; B. Ray                                                    | B       |
| 23  | Although they ran at about the same speed, Sue beat Sally because she had such a good start.                                                                               | Snippet: she had such a good start.               | A. Sue; B. Sally                                                  | A       | Meskipun mereka berlari dengan kecepatan yang hampir sama, Sue mengalahkan Sally karena awalnya yang baik.                                                                                                    | awalnya yang baik                                | A. Sue; B. Sally                                                  | A       |
| 24  | Although they ran at about the same speed, Sue beat Sally because she had such a bad start.                                                                                | Snippet: she had such a bad start.                | A. Sue; B. Sally                                                  | B       | Meskipun mereka berlari dengan kecepatan yang hampir sama, Sue mengalahkan Sally karena awalnya yang buruk.                                                                                                   | awalnya yang buruk                               | A. Sue; B. Sally                                                  | B       |
| 25  | The sculpture rolled off the shelf because it wasn't anchored.                                                                                                             | Snippet: it wasn't anchored.                      | A. The sculpture; B. The Shelf                                    | A       | Patung itu terguling dari rak karena itu tidak dikaitkan.                                                                                                                                                     | itu tidak dikaitkan                              | A. Patung; B. Rak                                                 | A       |
| 26  | The sculpture rolled off the shelf because it wasn't level.                                                                                                                | Snippet: it wasn't level.                         | A. The sculpture; B. The Shelf                                    | B       | Patung itu terguling dari rak karena itu tidak rata.                                                                                                                                                          | itu tidak rata                                   | A. Patung; B. Rak                                                 | B       |
| 27  | Sam's drawing was hung just above Tina's and it did look much better with another one below it.                                                                            | Snippet: it did look much better                  | A. Sam's drawing; B. Tina's drawing                               | A       | Gambar Sam digantung tepat di atas gambar Tina dan itu terlihat jauh lebih baik jika ada gambar lain di bawahnya.                                                                                             | itu terlihat jauh lebih baik                     | A. Gambar Sam; B. Gambar Tina                                     | A       |
| 28  | Sam's drawing was hung just above Tina's and it did look much better with another one above it.                                                                            | Snippet: it did look much better                  | A. Sam's drawing; B. Tina's drawing                               | B       | Gambar Sam digantung tepat di atas gambar Tina dan itu terlihat jauh lebih baik jika ada gambar lain di atasnya.                                                                                              | itu terlihat jauh lebih baik                     | A. Gambar Sam; B. Gambar Tina                                     | B       |
| 29  | Anna did a lot better than her good friend Lucy on the test because she had studied so hard.                                                                               | Snippet: she had studied so hard.                 | A. Anna; B. Lucy                                                  | A       | Anna mendapat nilai yang jauh lebih baik daripada teman baiknya, Lucy, dalam ujian karena dia telah belajar dengan giat.                                                                                      | dia telah belajar dengan giat                    | A. Anna; B. Lucy                                                  | A       |
| 30  | Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.                                                                                | Snippet: she had studied so hard.                 | A. Anna; B. Lucy                                                  | B       | Anna mendapat nilai yang jauh lebih buruk daripada teman baiknya, Lucy, dalam ujian karena dia telah belajar dengan giat.                                                                                     | dia telah belajar dengan giat                    | A. Anna; B. Lucy                                                  | B       |
| 31  | The firemen arrived after the police because they were coming from so far away.                                                                                            | Snippet: they were coming from so far away.       | A. The firemen; B. The police                                     | A       | Petugas pemadam kebakaran tiba setelah polisi karena datangnya dari tempat yang sangat jauh.                                                                                                                  | datangnya dari tempat yang sangat jauh           | A. pemadam kebakaran; B. The police                               | A       |
| 32  | The firemen arrived before the police because they were coming from so far away.                                                                                           | Snippet: they were coming from so far away.       | A. The firemen; B. The police                                     | B       | Petugas pemadam kebakaran tiba sebelum polisi karena datangnya dari tempat yang sangat jauh.                                                                                                                  | datangnya dari tempat yang sangat jauh           | A. pemadam kebakaran; B. polisi                                   | B       |
| 33  | Frank was upset with Tom because the toaster he had bought from him didn't work.                                                                                           | Snippet: he had bought                            | A. Frank; B. Tom                                                  | A       | Frank kesal pada Tom karena pemanggang roti yang dia beli tidak berfungsi.                                                                                                                                    | dia beli                                         | A. Frank; B. Tom                                                  | A       |
| 34  | Frank was upset with Tom because the toaster he had sold from him didn't work.                                                                                             | Snippet: he had sold                              | A. Frank; B. Tom                                                  | B       | Frank kesal pada Tom karena pemanggang roti yang dia jual tidak berfungsi.                                                                                                                                    | dia jual                                         | A. Frank; B. Tom                                                  | B       |
| 35  | Jim yelled at Kevin because he was so upset.                                                                                                                               | Snippet: he was so upset.                         | A. Jim; B. Kevin                                                  | A       | Jim meneriaki Kevin karena dia sangat kesal.                                                                                                                                                                  | dia sangat kesal                                 | A. Jim; B. Kevin                                                  | A       |
| 36  | Jim comforted at Kevin because he was so upset.                                                                                                                            | Snippet: he was so upset.                         | A. Jim; B. Kevin                                                  | B       | Jim menghibur Kevin karena dia sangat kesal.                                                                                                                                                                  | dia sangat kesal                                 | A. Jim; B. Kevin                                                  | B       |
| 37  | The sack of potatoes had been placed above the bag of flour, so it had to be moved first.                                                                                  | Snippet: it had to be moved first.                | A. The sack of potatoes; B. The bag of flour                      | A       | Karung kentang tadi diletakkan di atas kantong tepung, sehingga itu harus dipindahkan terlebih dahulu.                                                                                                        | itu harus dipindahkan terlebih dahulu            | A. Sekarung kentang; B. Sekantong tepung                          | A       |
| 38  | The sack of potatoes had been placed below the bag of flour, so it had to be moved first.                                                                                  | Snippet: it had to be moved first.                | A. The sack of potatoes; B. The bag of flour                      | B       | Karung kentang tadi diletakkan di bawah kantong tepung, sehingga itu harus dipindahkan terlebih dahulu.                                                                                                       | itu harus dipindahkan terlebih dahulu            | A. Sekarung kentang; B. Sekantong tepung                          | B       |
| 39  | Pete envies Martin although he is very successful.                                                                                                                         | Snippet: he is very successful.                   | A. Pete; B. Martin                                                | A       | Pete iri pada Martin meski dia sangat sukses.                                                                                                                                                                 | dia sangat sukses                                | A. Pete; B. Martin                                                | A       |
| 40  | Pete envies Martin because he is very successful.                                                                                                                          | Snippet: he is very successful.                   | A. Pete; B. Martin                                                | B       | Pete iri pada Martin karena dia sangat sukses.                                                                                                                                                                | dia sangat sukses                                | A. Pete; B. Martin                                                | B       |
| 41  | The older students were bullying the younger ones, so we punished them                                                                                                     | Snippet: we punished them                         | A. The older students; B. The younger students                    | A       | Siswa yang lebih tua menindas siswa yang lebih muda, jadi kami menghukum mereka                                                                                                                               | kami menghukum mereka                            | A. Siswa senior; B. Siswa junior                                  | A       |
| 42  | The older students were bullying the younger ones, so we rescued them                                                                                                      | Snippet: we rescued them                          | A. The older students; B. The younger students                    | B       | Siswa yang lebih tua menindas siswa yang lebih muda, jadi kami menyelamatkan mereka                                                                                                                           | kami menyelamatkan mereka                        | A. Siswa senior; B. Siswa junior                                  | B       |
| 43  | I poured water from the bottle into the cup until it was empty.                                                                                                            | Snippet: it was empty                             | A. the bottle; B. the cup                                         | A       | Aku menuangkan air dari botol ke dalam cangkir sampai itu kosong.                                                                                                                                             | itu kosong                                       | A. botol; B. cangkir                                              | A       |
| 44  | I poured water from the bottle into the cup until it was full.                                                                                                             | Snippet: it was full                              | A. the bottle; B. the cup                                         | B       | Aku menuangkan air dari botol ke dalam cangkir sampai itu penuh.                                                                                                                                              | itu penuh                                        | A. botol; B. cangkir                                              | B       |
| 45  | Susan knows all about Ann's personal problems because she is nosy.                                                                                                         | Snippet: she is nosy                              | A. Susan; B. Ann                                                  | A       | Susan mengetahui semua masalah pribadi Ann karena dia usil.                                                                                                                                                   | dia usil                                         | A. Susan; B. Ann                                                  | A       |
| 46  | Susan knows all about Ann's personal problems because she is indiscreet.                                                                                                   | Snippet: she is indiscreet                        | A. Susan; B. Ann                                                  | B       | Susan mengetahui semua masalah pribadi Ann karena dia tidak bijaksana.                                                                                                                                        | dia tidak bijaksana                              | A. Susan; B. Ann                                                  | B       |
| 47  | Sid explained his theory to Mark but he couldn't convince him.                                                                                                             | Snippet: he couldn't convince him.                | A. Sid; B. Mark                                                   | A       | Sid menjelaskan teorinya kepada Mark tetapi dia tidak dapat meyakinkannya.                                                                                                                                    | dia tidak dapat meyakinkannya                    | A. Sid; B. Mark                                                   | A       |
| 48  | Sid explained his theory to Mark but he couldn't understand him.                                                                                                           | Snippet: he couldn't understand him.              | A. Sid; B. Mark                                                   | B       | Sid menjelaskan teorinya kepada Mark tetapi dia tidak dapat memahaminya.                                                                                                                                      | dia tidak dapat memahaminya                      | A. Sid; B. Mark                                                   | B       |
| 49  | Susan knew that Ann's son had been in a car accident, so she told her about it.                                                                                            | Snippet: she told                                 | A. Susan; B. Ann                                                  | A       | Susan mengetahui bahwa putra Ann mengalami kecelakaan mobil, jadi dia menceritakan hal tersebut kepadanya.                                                                                                    | dia menceritakan                                 | A. Susan; B. Ann                                                  | A       |
| 50  | Susan knew that Ann's son had been in a car accident, because she told her about it.                                                                                       | Snippet: she told                                 | A. Susan; B. Ann                                                  | B       | Susan mengetahui bahwa putra Ann mengalami kecelakaan mobil, karena dia menceritakan hal tersebut kepadanya.                                                                                                  | dia menceritakan                                 | A. Susan; B. Ann                                                  | B       |
| 51  | Joe's uncle can still beat him at tennis, even though he is 30 years younger.                                                                                              | Snippet: he is 30 years younger.                  | A. Joe; B. Joe's uncle                                            | A       | Paman Joe masih bisa mengalahkannya dalam tenis, meskipun usianya 30 tahun lebih muda.                                                                                                                        | usianya 30 tahun lebih muda                      | A. Joe; B. Paman Joe                                              | A       |
| 52  | Joe's uncle can still beat him at tennis, even though he is 30 years older.                                                                                                | Snippet: he is 30 years older.                    | A. Joe; B. Joe's uncle                                            | B       | Paman Joe masih bisa mengalahkannya dalam tenis, meskipun usianya 30 tahun lebih tua.                                                                                                                         | usianya 30 tahun lebih tua                       | A. Joe; B. Paman Joe                                              | B       |
| 53  | The painting in Mark's living room shows an oak tree. It is to the right of the bookcase.                                                                                  | Snippet: it is to the right                       | A. The painting; B. The oak tree                                  | A       | Lukisan di ruang tamu Mark menunjukkan pohon ek. Letaknya di sebelah kanan rak buku.                                                                                                                          | letaknya di sebelah kanan                        | A. Lukisan; B. Pohon Oak                                          | A       |
| 54  | The painting in Mark's living room shows an oak tree. It is to the right of the house.                                                                                     | Snippet: it is to the right                       | A. The painting; B. The oak tree                                  | B       | Lukisan di ruang tamu Mark menunjukkan pohon ek. Letaknya di sebelah kanan rumah.                                                                                                                             | letaknya di sebelah kanan                        | A. Lukisan; B. Pohon Oak                                          | B       |
| 55  | There is a gap in the wall. You can see the garden through it.                                                                                                             | Snippet: through it                               | A. Gap; B. Wall                                                   | A       | Ada celah di dinding. Anda dapat melihat taman melaluinya.                                                                                                                                                    | melaluinya                                       | A. Sela; B. Dinding                                               | A       |
| 56  | There is a gap in the wall. You can see the garden behind it.                                                                                                              | Snippet: behind it                                | A. Gap; B. Wall                                                   | B       | Ada celah di dinding. Anda dapat melihat taman di belakangnya.                                                                                                                                                | di belakangnya                                   | A. Sela; B. Dinding                                               | B       |
| 57  | The drain is clogged with hair. It has to be cleaned.                                                                                                                      | Snippet: It has to be cleaned.                    | A. The drain; B. The hair                                         | A       | Saluran airnya tersumbat rambut. Ini harus dibersihkan.                                                                                                                                                       | Ini harus dibersihkan                            | A. Saluran; B. Rambut                                             | A       |
| 58  | The drain is clogged with hair. It has to be removed.                                                                                                                      | Snippet: It has to be removed.                    | A. The drain; B. The hair                                         | B       | Saluran airnya tersumbat rambut. Ini harus disingkirkan.                                                                                                                                                      | Ini harus disingkirkan                           | A. Saluran; B. Rambut                                             | B       |
| 59  | My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was short, so it worked out.                                    | Snippet: it was short                             | A. The meeting; B. The train                                      | A       | Pertemuan saya dimulai pada jam 4:00 dan saya harus naik kereta pada jam 4:30, jadi tidak ada banyak waktu. Untungnya, hal itu cepat, jadi berhasil.                                                          | itu cepat                                        | A. Rapat; B. Kereta                                               | A       |
| 60  | My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was delayed, so it worked out.                                  | Snippet: it was delayed                           | A. The meeting; B. The train                                      | B       | Pertemuan saya dimulai pada jam 4:00 dan saya harus naik kereta pada jam 4:30, jadi tidak ada banyak waktu. Untungnya, hal itu tertunda, jadi berhasil.                                                       | itu tertunda                                     | A. Rapat; B. Kereta                                               | B       |
| 61  | There is a pillar between me and the stage, and I can't see around it.                                                                                                     | Snippet: see around it                            | A. The pillar; B. The stage                                       | A       | Ada pilar antara saya dan panggung, dan saya tidak dapat melihat sekelilingnya.                                                                                                                               | melihat sekelilingnya                            | A. Pilar; B. Panggung                                             | A       |
| 62  | There is a pillar between me and the stage, and I can't see it.                                                                                                            | Snippet: see it                                   | A. The pillar; B. The stage                                       | B       | Ada pilar antara saya dan panggung, dan saya tidak dapat melihatnya.                                                                                                                                          | melihatnya                                       | A. Pilar; B. Panggung                                             | B       |
| 63  | They broadcast an announcement, but a subway came into the station and I couldn't hear it.                                                                                 | Snippet: hear it                                  | A. The announcement; B. The subway                                | A       | Mereka menyiarkan pengumuman, namun ada kereta bawah tanah yang masuk ke stasiun dan saya tidak dapat mendengarnya.                                                                                           | saya tidak dapat mendengarnya                    | A. Pengumuman; B. Kereta                                          | A       |
| 64  | They broadcast an announcement, but a subway came into the station and I couldn't hear over it.                                                                            | Snippet: hear over it                             | A. The announcement; B. The subway                                | B       | Mereka menyiarkan pengumuman, namun ada kereta bawah tanah yang masuk ke stasiun dan suaranya tidak dapat terdengar.                                                                                          | suaranya tidak dapat terdengar                   | A. Pengumuman; B. Kereta                                          | B       |
| 65  | In the middle of the outdoor concert, the rain started falling, but it continued until 10.                                                                                 | Snippet: it continued                             | A. The concert; B. The rain                                       | A       | Di tengah konser outdoor, hujan mulai turun, namun itu terus berlanjut hingga pukul 10.                                                                                                                       | itu terus berlanjut                              | A. Konser; B. Hujan                                               | A       |
| 66  | In the middle of the outdoor concert, the rain started falling, but it continued until 10.                                                                                 | Snippet: it continued                             | A. The concert; B. The rain                                       | B       | Di tengah konser outdoor, hujan mulai turun, namun itu terus berlanjut hingga pukul 10.                                                                                                                       | itu terus berlanjut                              | A. Konser; B. Hujan                                               | B       |
| 67  | I used an old rag to clean the knife, and then I put it in the trash.                                                                                                      | Snippet: put it in the trash.                     | A. The rag; B. The knife                                          | A       | Saya menggunakan lap bekas untuk membersihkan pisau, lalu saya menaruhnya di tempat sampah.                                                                                                                   | menaruhnya di tempat sampah                      | A. Kain; B. Pisau                                                 | A       |
| 68  | I used an old rag to clean the knife, and then I put it in the drawer.                                                                                                     | Snippet: put it in the drawer.                    | A. The rag; B. The knife                                          | B       | Saya menggunakan lap bekas untuk membersihkan pisau, lalu saya menaruhnya di laci.                                                                                                                            | menaruhnya di laci                               | A. Kain; B. Pisau                                                 | B       |
